기준년,시군별,세대수 (세대),인구-합계 (명),인구-남 (명),인구-여 (명),세대당인구 (명),65세이상 고령자 (명),평균연령 (세),인구밀도 (명/㎢),데이터기준일자
2011,태백시,22230,50435,25604,24831,2.3,7708,,166.2,2017-11-01
2011,속초시,36579,84489,41706,42783,2.3,11036,,801.5,2017-11-01
2011,삼척시,33388,72848,36923,35925,2.2,13085,,61.4,2017-11-01
2011,홍천군,29648,70734,36003,34731,2.4,13524,,38.9,2017-11-01
2011,횡성군,19160,44878,22825,22053,2.3,9860,,45,2017-11-01
2011,영월군,18668,40481,20579,19902,2.2,8890,,35.9,2017-11-01
2011,평창군,19569,43899,22451,21448,2.2,8685,,30,2017-11-01
2011,정선군,18968,40514,20903,19611,2.1,7978,,33.2,2017-11-01
2011,철원군,19970,48574,25175,23399,2.4,8143,,54.6,2017-11-01
2011,화천군,11716,25132,13702,11430,2.1,4510,,27.7,2017-11-01
2011,양구군,9775,22568,11858,10710,2.3,3802,,32.2,2017-11-01
2011,인제군,13935,32299,17179,15120,2.3,5212,,19.6,2017-11-01
2011,고성군,14248,30485,15877,14608,2.1,6446,,46.2,2017-11-01
2011,양양군,12783,28245,14440,13805,2.2,6144,,44.9,2017-11-01
2012,전체,655301,1551531,780172,771359,2.4,241694,,92,2017-11-01
2012,춘천시,110596,276131,136042,140089,2.5,38278,,247.3,2017-11-01
2012,원주시,130617,326321,162310,164011,2.5,37620,,374,2017-11-01
2012,강릉시,91332,219274,109002,110272,2.4,33639,,210.8,2017-11-01
2012,동해시,39002,94440,47654,46786,2.4,13379,,524.1,2017-11-01
2012,태백시,22258,49756,25199,24557,2.2,8014,,164,2017-11-01
2012,속초시,36745,84279,41578,42701,2.3,11532,,798.2,2017-11-01
2012,삼척시,34066,73194,37287,35907,2.1,13454,,61.7,2017-11-01
2012,홍천군,29894,70401,35836,34565,2.4,13852,,38.7,2017-11-01
2012,횡성군,19461,45104,22905,22199,2.3,10277,,45.2,2017-11-01
2012,영월군,18881,40439,20545,19894,2.1,9120,,35.9,2017-11-01
2012,평창군,19783,43912,22390,21522,2.2,8992,,30,2017-11-01
2012,정선군,19058,40240,20779,19461,2.1,8185,,33,2017-11-01
2012,철원군,19975,48469,25017,23452,2.4,8479,,54.5,2017-11-01
2012,화천군,11686,25194,13625,11569,2.2,4603,,27.7,2017-11-01
2012,양구군,10051,23039,12156,10883,2.3,3887,,32.8,2017-11-01
2012,인제군,14348,32769,17544,15225,2.3,5396,,19.9,2017-11-01
2012,고성군,14663,30516,16019,14497,2.1,6600,,45.9,2017-11-01
2012,양양군,12885,28053,14284,13769,2.2,6387,,44.5,2017-11-01
2013,전체,664913,1555672,782828,772844,2.3,249539,,92.2,2017-11-01
2013,춘천시,111313,277353,136627,140726,2.5,39467,,248.4,2017-11-01
2013,원주시,132207,327381,162876,164505,2.5,38812,,375.3,2017-11-01
2013,강릉시,92412,218369,108395,109974,2.4,34855,,209.9,2017-11-01
2013,동해시,40093,95714,48388,47326,2.4,14006,,531.2,2017-11-01
2013,태백시,22204,49058,24854,24204,2.2,8379,,161.7,2017-11-01
2013,속초시,36946,83803,41342,42461,2.3,11894,,793.4,2017-11-01
2013,삼척시,35362,73783,37829,35954,2.1,13916,,62.2,2017-11-01
2013,홍천군,30885,71360,36531,34829,2.3,14159,,39.2,2017-11-01
2013,횡성군,19960,45490,23160,22330,2.3,10631,,45.6,2017-11-01
2013,영월군,19111,40398,20552,19846,2.1,9391,,35.8,2017-11-01
2013,평창군,20030,43996,22428,21568,2.2,9318,,30.1,2017-11-01
2013,정선군,19330,40310,20758,19552,2.1,8503,,33,2017-11-01
2013,철원군,19835,48057,24729,23328,2.4,8713,,54,2017-11-01
2013,화천군,11734,25279,13592,11687,2.2,4668,,27.8,2017-11-01
2013,양구군,10507,23828,12613,11215,2.3,4009,,33.9,2017-11-01
2013,인제군,14474,32827,17505,15322,2.3,5472,,20,2017-11-01
2013,고성군,15377,30743,16383,14360,2,6761,,46.3,2017-11-01
2013,양양군,13133,27923,14266,13657,2.1,6585,,44.3,2017-11-01
2014,전체,673978,1558885,785023,773862,2.3,255930,,92.4,2017-11-01
2014,춘천시,113095,278840,137314,141526,2.5,40376,,249.8,2017-11-01
2014,원주시,134487,330134,164246,165888,2.5,39862,,380.4,2017-11-01
2014,강릉시,93007,217464,107935,109529,2.3,36009,,209,2017-11-01
2014,동해시,40208,95203,48185,47018,2.4,14456,,528.3,2017-11-01
2014,태백시,22352,48547,24589,23958,2.2,8716,,160,2017-11-01
2014,속초시,37032,83194,41059,42135,2.2,12261,,787.1,2017-11-01
2014,삼척시,35204,72939,37246,35693,2.1,14245,,61.5,2017-11-01
2014,홍천군,31183,71256,36440,34816,2.3,14400,,39.2,2017-11-01
2014,횡성군,20348,46007,23375,22632,2.3,10834,,46.1,2017-11-01
2014,영월군,19597,40451,20663,19788,2.1,9602,,35.9,2017-11-01
2014,평창군,20279,44050,22427,21623,2.2,9530,,30.1,2017-11-01
2014,정선군,19347,39752,20472,19280,2.1,8709,,32.6,2017-11-01
2014,철원군,20337,48198,25022,23176,2.4,8899,,54.2,2017-11-01
2014,화천군,13474,27351,15247,12104,2,4791,,30.1,2017-11-01
2014,양구군,10778,24144,12820,11324,2.2,4051,,34.2,2017-11-01
2014,인제군,14613,32808,17460,15348,2.2,5537,,19.9,2017-11-01
2014,고성군,15408,30760,16393,14367,2,6888,,46.3,2017-11-01
2014,양양군,13229,27787,14130,13657,2.1,6764,,44.1,2017-11-01
2015,전체,685005,1564615,789001,775614,2.3,261671,42.7,92.7,2019-07-04
2015,춘천시,115044,281005,138248,142757,2.4,41092,40.8,251.7,2019-07-04
2015,원주시,138380,336031,167191,168840,2.4,41104,39.9,387.2,2019-07-04
2015,강릉시,93774,216330,107406,108924,2.3,36924,42.6,207.9,2019-07-04
2015,동해시,40338,94558,47857,46701,2.3,14891,42.5,524.7,2019-07-04
2015,태백시,22293,47779,24204,23575,2.1,9010,44.5,157.4,2019-07-04
2015,속초시,37084,82978,40950,42028,2.2,12487,42.7,784.9,2019-07-04
2015,삼척시,34601,71534,36380,35154,2.1,14527,44.4,60.3,2019-07-04
2015,홍천군,31443,71159,36363,34796,2.3,14739,46,39.1,2019-07-04
2015,횡성군,20821,46451,23658,22793,2.2,11095,48.2,46.6,2019-07-04
2015,영월군,19990,40461,20763,19698,2,9782,48.7,35.9,2019-07-04
2015,평창군,20601,43980,22452,21528,2.1,9694,47.7,30,2019-07-04
2015,정선군,19519,39502,20341,19161,2,8872,47.4,32.4,2019-07-04
2015,철원군,22017,49422,26338,23084,2.2,9060,42.9,55.6,2019-07-04
2015,화천군,13668,27231,15256,11975,2,4821,41.9,30,2019-07-04
2015,양구군,11140,24329,13011,11318,2.2,4082,41.8,34.4,2019-07-04
2015,인제군,15594,33599,18206,15393,2.2,5573,42.7,20.4,2019-07-04
2015,고성군,15324,30500,16267,14233,2,6996,46,45.9,2019-07-04
2015,양양군,13374,27766,14110,13656,2.1,6922,49,44.1,2019-07-04
2016,전체,692254,1566639,789251,777388,2.3,266152,43.2,92.8,2019-07-04
2016,춘천시,117014,283951,139683,144268,2.4,41699,41.3,254.3,2019-07-04
2016,원주시,142136,341130,169524,171606,2.4,42246,40.3,392.9,2019-07-04
2016,강릉시,94781,215721,107171,108550,2.3,37679,43.1,207.4,2019-07-04
2016,동해시,40468,93958,47514,46444,2.3,15124,43.1,521.4,2019-07-04
2016,태백시,22265,47333,23976,23357,2.1,9266,45.2,156,2019-07-04
2016,속초시,37193,82670,40831,41839,2.2,12752,43.5,782,2019-07-04
2016,삼척시,34147,70371,35675,34696,2.1,14610,44.7,59.3,2019-07-04
2016,홍천군,31851,70961,36246,34715,2.2,14933,46.8,39,2019-07-04
2016,횡성군,21283,46662,23793,22869,2.2,11323,49,46.8,2019-07-04
2016,영월군,20255,40330,20733,19597,2,9915,49.1,35.8,2019-07-04
2016,평창군,20745,43782,22346,21436,2.1,9837,48.4,29.9,2019-07-04
2016,정선군,19571,38993,20056,18937,2,9008,48,32,2019-07-04
2016,철원군,21778,48699,25848,22851,2.2,9112,43.5,54.8,2019-07-04
2016,화천군,13207,26489,14642,11847,2,4806,42.6,29.1,2019-07-04
2016,양구군,11355,24264,13004,11260,2.1,4108,42.3,34.3,2019-07-04
2016,인제군,15426,33061,17860,15201,2.1,5602,43.4,20.1,2019-07-04
2016,고성군,15377,30749,16352,14397,2,7151,46.4,46.3,2019-07-04
2016,양양군,13402,27515,13997,13518,2.1,6981,49.7,43.7,2019-07-04
2017,전체,700265,1567091,789577,777514,2.2,279976,43.7,92.9,2019-07-04
2017,춘천시,118450,284192,139917,144275,2.4,43914,41.7,254.6,2019-07-04
2017,원주시,145521,344614,171477,173137,2.4,45246,40.7,396.9,2019-07-04
2017,강릉시,95963,215856,107217,108639,2.2,39784,45.5,207.4,2019-07-04
2017,동해시,40730,93657,47577,46080,2.3,15881,43.6,519.7,2019-07-04
2017,태백시,21889,46142,23275,22867,2.1,9626,45.9,152,2019-07-04
2017,속초시,37772,83213,41089,42124,2.2,13464,44.1,787,2019-07-04
2017,삼척시,33863,69339,35086,34253,2,15093,45.4,58.4,2019-07-04
2017,홍천군,32467,71285,36410,34875,2.2,15899,47.4,39.2,2019-07-04
2017,횡성군,21777,46912,23899,23013,2.2,12025,49.5,47,2019-07-04
2017,영월군,20715,40327,20720,19607,1.9,10374,49.7,35.8,2019-07-04
2017,평창군,21008,43592,22257,21335,2.1,10399,49,29.8,2019-07-04
2017,정선군,19554,38429,19823,18606,2,9329,48.7,31.5,2019-07-04
2017,철원군,21583,47921,25360,22561,2.2,9264,44,53.9,2019-07-04
2017,화천군,13065,26252,14413,11839,2,4946,43.3,28.9,2019-07-04
2017,양구군,11340,24098,12869,11229,2.1,4259,43,34.1,2019-07-04
2017,인제군,15523,32901,17725,15176,2.1,5859,43.9,20,2019-07-04
2017,고성군,15519,30871,16458,14413,2,7300,46.8,46.5,2019-07-04
2017,양양군,13526,27490,14005,13485,2,7314,50.3,43.6,2019-07-04
2018,전체,707245,1561313,786364,774949,289386,289386,43.7,92.5,2020-08-27
2018,춘천시,120190,285002,140527,144475,45532,45532,42.1,255.3,2020-08-27
2018,원주시,149166,347421,172838,174583,47200,47200,41.3,400.1,2020-08-27
2018,강릉시,96859,215239,106867,108372,41214,41214,44.2,206.8,2020-08-27
2018,동해시,40784,92137,46756,45381,16526,16526,44.4,511.3,2020-08-27
2018,태백시,21832,45112,22694,22418,9940,9940,46.7,148.6,2020-08-27
2018,속초시,37993,82694,40867,41827,13952,13952,44.7,782.1,2020-08-27
2018,삼척시,34227,69115,35032,34083,15481,15481,45.8,58.2,2020-08-27
2018,홍천군,32760,70898,36227,34671,16406,16406,48,38.9,2020-08-27
2018,횡성군,22411,47340,24189,23151,12445,12445,49.9,47.4,2020-08-27
2018,영월군,21011,39998,20580,19418,10669,10669,50.4,35.5,2020-08-27
2018,평창군,21172,43021,21938,21083,10675,10675,49.7,29.4,2020-08-27
2018,정선군,19761,37965,19673,18292,9508,9508,49.4,31.1,2020-08-27
2018,철원군,21451,47138,24854,22284,9464,9464,44.5,53,2020-08-27
2018,화천군,12564,25342,13713,11629,5064,5064,44.4,27.9,2020-08-27
2018,양구군,11058,23666,12561,11105,4324,4324,43.4,33.5,2020-08-27
2018,인제군,15550,32455,17504,14951,6014,6014,44.5,19.7,2020-08-27
2018,고성군,14763,29118,15468,13650,7416,7416,47.8,43.8,2020-08-27
2018,양양군,13693,27652,14076,13576,7556,7556,50.9,43.9,2020-08-27
