자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,ST_PARK,SCORE
영등포구,영등포본동,0.17626814229252735,0.17744446803018818,0.38784775645067726,0.3067242534812719,0.3990442054958183,0.4000000000000001,0.03898050974512743,0.011581807652902133,1.8863093354956106
송파구,문정1동,0.13478932346442488,0.13596984125290168,0.3274144323656267,0.18229205450889865,0.6630824372759856,0.4000000000000001,0.03898050974512743,0.01118089892645552,1.882528598612965
동작구,상도1동,0.1526420564176285,0.15444177976032133,0.3287007844225288,0.2507260406582769,0.5543608124253285,0.4000000000000001,0.03898050974512743,0.042674506659539396,1.8798519834292118
강남구,개포2동,0.21238908466566164,0.21480252709375755,0.32325270512270793,0.3662968203142453,0.3608124253285543,0.4000000000000001,0.0,0.02980088199919818,1.8775535625249269
구로구,수궁동,0.12892262573682536,0.13020943283639694,0.3230257018185487,0.26062997989425873,0.5949820788530464,0.4000000000000001,0.03898050974512743,0.05523631342153325,1.8767503288842038
금천구,독산4동,0.23860121653682115,0.24075334324557995,0.3832572451887911,0.4015935661627821,0.48267622461170845,0.0,0.12443778110944526,0.06218539801327453,1.871319376855128
용산구,효창동,0.15877699111236268,0.16065320817614298,0.4071934824829117,0.3825303447762306,0.32258064516129015,0.4000000000000001,0.03898050974512743,0.03407724174796205,1.8707151814540655
은평구,대조동,0.15042329862192572,0.15225432187600438,0.4358715665750246,0.27857621565269197,0.41099163679808837,0.4000000000000001,0.03898050974512743,0.05461267762483852,1.8670975492688626
중랑구,망우3동,0.1073230746841371,0.10827627500703754,0.35508361288369866,0.17655819495122496,0.6798088410991637,0.4000000000000001,0.03898050974512743,0.03140451690498463,1.8660305083703894
양천구,신월4동,0.04850816332919684,0.048683804370774526,0.24064872499810833,0.21736540323181175,0.8685782556750298,0.4000000000000001,0.03898050974512743,0.0016927257338856965,1.8627648613500487
금천구,독산1동,0.11296277471140789,0.11374087870952604,0.42086412591116606,0.355871621118475,0.41816009557945033,0.4000000000000001,0.03898050974512743,0.019778163838032874,1.8605800057751527
송파구,방이2동,0.135198995088571,0.13668429875654167,0.3008802683683507,0.224663042668851,0.6236559139784946,0.4000000000000001,0.03898050974512743,0.05786449285046104,1.8600630286059368
강동구,상일동,0.06853346613248973,0.06924545395327078,0.2827956718036674,0.1718668553131283,0.6284348864994026,0.6000000000000001,0.03898050974512743,0.05006904539177691,1.8598568434470863
마포구,연남동,0.08241743522549427,0.08322238389857606,0.2422629707165738,0.11810261374636981,0.8924731182795699,0.4000000000000001,0.03898050974512743,0.06312085170831663,1.8574590316117112
도봉구,쌍문3동,0.13280507749979903,0.1338004007002689,0.3014603879234242,0.16456921587608908,0.6786140979689365,0.4000000000000001,0.03898050974512743,0.042674506659539396,1.8502296897136452
영등포구,당산1동,0.195318822626504,0.1974023465867104,0.38973945065200394,0.177600714870802,0.8482676224611708,0.0,0.040479760119940034,0.01478907746447503,1.8488087173171313
강동구,길동,0.14545918692087023,0.14648376898346702,0.36956137917118576,0.38811527291682185,0.3584229390681003,0.4000000000000001,0.03898050974512743,0.01750634772150207,1.8470230568055725
노원구,하계1동,0.11607081703007796,0.11684144049245376,0.2837036850203042,0.09203961575694393,0.7992831541218638,0.4000000000000001,0.03898050974512743,0.07274266114303532,1.8469192221667712
광진구,자양1동,0.08462721625644327,0.08558258743519945,0.5114132216813377,0.5755454613150645,0.14814814814814814,0.4000000000000001,0.03898050974512743,0.04953450042318143,1.8442971445813208
마포구,망원2동,0.15612975650589878,0.15796757895854407,0.36824980452493256,0.4057636458410902,0.31660692951015523,0.4000000000000001,0.03898050974512743,0.029132700788453827,1.8436982250857485
강서구,화곡6동,0.14456208529097156,0.1460318942876418,0.27596035008954023,0.08466751061136348,0.7514934289127836,0.4000000000000001,0.03898050974512743,0.016169985300013363,1.8416957789374282
강남구,삼성2동,0.08890792685428593,0.08975862094937004,0.22463238076020886,0.1545163452230248,0.8446833930704897,0.4000000000000001,0.03898050974512743,0.002494543186778921,1.841479176602507
