자치구,행정동명,ST_WEEK,ST_HOLI,ST_YOUT,ST_SOLO,ST_HOUS,ST_SUBW,ST_HOSP,SCORE
영등포구,여의동,1.0,0.9999999999999999,0.8697253260019674,0.9478740040211483,0.3775388291517323,0.4000000000000001,0.03898050974512743,4.634118668919976
관악구,신사동,0.2542554618412289,0.25657780525588303,0.48957045930335213,0.5418124953458933,0.5961768219832736,0.6000000000000001,1.0,3.738393043729631
영등포구,양평2동,0.9159962827160366,0.9134112548440334,0.4383938255101269,0.1985255789708839,0.6953405017921147,0.4000000000000001,0.03898050974512743,3.600647953578323
서초구,서초2동,0.6075240165796474,0.608199529453842,0.5395616313970792,0.3607863578821953,0.6021505376344085,0.8,0.03898050974512743,3.5572025826923
노원구,상계5동,0.3443830306008879,0.34787764959465983,0.46911493933967263,0.2619703626480006,0.9235364396654718,1.0000000000000002,0.03898050974512743,3.3858629315938202
서대문구,홍제1동,0.28776749154113873,0.2913061006919185,1.0,0.7619331297937301,0.5913978494623655,0.4000000000000001,0.03898050974512743,3.3713850812342803
은평구,신사2동,0.2542554618412289,0.25657780525588303,0.48957045930335213,0.5418124953458933,0.07646356033452811,0.6000000000000001,1.0,3.2186797820808852
강서구,가양1동,0.4064529432695863,0.4082963265256475,0.843821726738467,0.8203887109985852,0.18399044205495818,0.4000000000000001,0.03898050974512743,3.1019306593323717
강남구,삼성1동,0.3058893194480561,0.30577014290947546,0.4359472343430777,0.31498994712934697,0.6989247311827956,1.0000000000000002,0.03898050974512743,3.10050188475788
노원구,상계10동,0.24926766472140915,0.25237814491441496,0.5006936212071531,0.25675776305011544,0.7753882915173237,1.0000000000000002,0.03898050974512743,3.0734659951555443
중구,청구동,0.2507275140389656,0.2535928375058328,0.9143440865639266,1.0,0.13022700119474312,0.4000000000000001,0.03898050974512743,2.9878719490485954
노원구,공릉1동,0.29192676801599554,0.2953353095256531,0.5971700254748152,0.5473229577779433,0.6140979689366786,0.6000000000000001,0.03898050974512743,2.9848335394762135
강서구,염창동,0.40974436639279543,0.41482050822048344,0.7214669457966555,0.7568694616129273,0.2568697729988052,0.4000000000000001,0.0059970014992503755,2.965768056520917
마포구,서강동,0.6089678554681853,0.6175197291282566,0.5791358740888339,0.6095762901184005,0.4647550776583035,0.0,0.08395802098950524,2.963912847451485
중구,약수동,0.4241351399565895,0.4253305428578971,0.5913183847453779,0.355201429741604,0.7132616487455196,0.4000000000000001,0.03898050974512743,2.9482276557921154
성북구,삼선동,0.4039361651867626,0.40442640535835567,0.18397356672636014,0.10626256608831633,0.7777777777777778,1.0000000000000002,0.03898050974512743,2.9153569908827004
금천구,독산1동,0.25319047279402274,0.25519512333322286,0.8330012359068782,0.668478665574503,0.4647550776583035,0.4000000000000001,0.03898050974512743,2.9136010850120577
서초구,서초1동,0.3797534829005461,0.379728168675543,0.3926400484273716,0.2406731700052126,0.6630824372759856,0.8,0.03898050974512743,2.894857817029786
노원구,공릉2동,0.2948011323189845,0.29705354838957604,0.6048376926375262,0.35572268970139254,0.6690561529271205,0.6000000000000001,0.03898050974512743,2.8604517257197273
금천구,가산동,0.600790166999016,0.5971904122251752,0.6164905289176986,0.7274555067391467,0.19832735961768222,0.0,0.09895052473763118,2.8392044992363497
강남구,신사동,0.2542554618412289,0.25657780525588303,0.48957045930335213,0.15198451113262343,0.07646356033452811,0.6000000000000001,1.0,2.8288517978676158
송파구,방이2동,0.24625104164983252,0.24961449959185822,0.5689459479910207,0.4940799761709733,0.42413381123058536,0.8,0.03898050974512743,2.822005786379398
강남구,역삼1동,0.42834217857211093,0.4288865223310129,0.4700986203243625,0.3521483356914141,0.6977299880525686,0.4000000000000001,0.03898050974512743,2.8161861547165965
서초구,서초3동,0.34842177077801795,0.35093056573820197,0.35362070270133933,0.11341127410827315,0.7753882915173237,0.8,0.03898050974512743,2.7807531145882836
양천구,신정7동,0.45525144395349354,0.4579070025196584,0.5470022952556309,0.6698935140367861,0.20549581839904418,0.4000000000000001,0.03898050974512743,2.7745305839097405
강서구,등촌3동,0.32975369727676646,0.33255916588731815,0.42959114182661995,0.39682776081614424,0.8136200716845877,0.4000000000000001,0.03898050974512743,2.7413323472365643
강동구,길동,0.3792429615524165,0.3834293775649422,0.7302191843014604,0.5140367860600195,0.5782556750298685,0.0,0.15442278860569714,2.739606773114404
강서구,화곡6동,0.2726931214455338,0.27614060380848254,0.7195500290059778,0.9455655670563706,0.054958183990442055,0.4000000000000001,0.06896551724137931,2.737873022548186
영등포구,당산2동,0.2619432469198001,0.26394030923480777,0.7788231139808812,0.555141857174771,0.4277180406212664,0.4000000000000001,0.03898050974512743,2.726547077676654
송파구,가락본동,0.2938571355318919,0.29541083602472185,0.43758670265089417,0.2358328989500335,0.6236559139784946,0.8,0.03898050974512743,2.725323996881164
마포구,연남동,0.25155192674594506,0.25404359818580174,0.6591419275102782,0.6701169111624098,0.43249701314217437,0.4000000000000001,0.043478260869565216,2.710829637616174
구로구,오류1동,0.3409172792867454,0.34465333483102795,0.481650566247131,0.24216248417603695,0.8375149342891278,0.4000000000000001,0.03898050974512743,2.6858791085751967
중랑구,중화1동,0.4339299119654678,0.43972593571537344,0.6846671879335132,0.35266959565120265,0.6989247311827956,0.0,0.07496251874062967,2.6848798811889827
강남구,역삼2동,0.2643988415299786,0.26741699655869783,0.6504149115948243,0.40710402859483213,0.6212664277180404,0.4000000000000001,0.06446776611694152,2.6750689721133147
송파구,잠실2동,0.33943099014937417,0.34556375733079686,0.399778041213711,0.08265693648075062,0.8542413381123058,0.6000000000000001,0.03898050974512743,2.660651573032066
강남구,논현1동,0.35761064518075997,0.3589843611214194,0.5001891694201327,0.5298235162707574,0.4635603345280763,0.4000000000000001,0.03898050974512743,2.649148536266273
노원구,상계6.7동,0.08833692490282752,0.08898326746550123,0.3711756248896512,0.14505920023829028,0.9163679808841098,1.0000000000000002,0.03898050974512743,2.6489035081255077
송파구,잠실7동,0.22720139617828328,0.22984930135251935,0.5574192246576033,0.48797378807059355,0.5005973715651135,0.6000000000000001,0.03898050974512743,2.642021591569241
마포구,성산1동,0.2279108718990246,0.23080947603771723,0.6698867505738139,0.4980266587236578,0.5734767025089605,0.4000000000000001,0.03898050974512743,2.6390909694883016
강남구,대치2동,0.43575568573318385,0.43755193003628656,0.3962973238832699,0.1341127410827314,0.7825567502986855,0.4000000000000001,0.03898050974512743,2.6252549407792847
중랑구,상봉2동,0.39585654148438604,0.3970160247215072,0.4092365122203446,0.2781294214014447,0.6606929510155315,0.4000000000000001,0.07196401799100449,2.6128954688342185
강남구,삼성2동,0.11631769219525676,0.11755599299003633,0.2647110752389841,0.23277980489984362,0.6284348864994026,1.0000000000000002,0.24137931034482757,2.6011787621683506
송파구,가락1동,0.17227468869905685,0.1740041220002585,0.4205362322496028,0.09300766996797975,0.891278375149343,0.8,0.03898050974512743,2.590081597811368
강동구,천호2동,0.3931443982749636,0.3961402309161269,0.38984034100940806,0.23806687020627001,0.8076463560334527,0.0,0.3583208395802099,2.583159036020431
양천구,신정2동,0.2506319884424217,0.25313189264035135,0.5993896133377052,0.26628937374339123,0.7729988052568698,0.4000000000000001,0.03898050974512743,2.581422183165867
송파구,가락2동,0.17125478975063024,0.17264749423494785,0.4613463818195576,0.1687392955543972,0.7586618876941457,0.8,0.03898050974512743,2.5716303587988056
노원구,상계9동,0.2756609826282003,0.2783383301301947,0.7959240295608747,0.6402561620373819,0.5471923536439665,0.0,0.02098950524737631,2.558361363247995
노원구,상계8동,0.10119802606905057,0.10222091437642417,0.27356420410119303,0.1309851813240003,0.9080047789725206,1.0000000000000002,0.03898050974512743,2.5549536145883165
관악구,성현동,0.30142562660509736,0.3042145874618317,0.5917219461749943,0.36376498622384396,0.5734767025089605,0.4000000000000001,0.011994002998500747,2.546597851973228
용산구,용산2가동,0.2797657395507891,0.2817006199380908,0.5850379599969733,0.6298309628416114,0.3201911589008364,0.4000000000000001,0.03898050974512743,2.5355069509734283
노원구,상계2동,0.12130287170664647,0.1227327778848025,0.3028476303377305,0.24342840122123763,0.6941457586618877,1.0000000000000002,0.03898050974512743,2.523437949557432
중구,필동,0.40564920119860365,0.408723594001512,0.391984261104245,0.2791719413210217,0.5949820788530464,0.4000000000000001,0.03898050974512743,2.519491586223556
동작구,노량진1동,0.2629079108082495,0.26586933830801246,0.5515423613388151,0.4168590364137315,0.5758661887694145,0.4000000000000001,0.03898050974512743,2.5120253453833503
동작구,사당1동,0.21574886409195304,0.21836513570683735,0.4056296819431483,0.22481197408593342,0.6069295101553165,0.8,0.03898050974512743,2.510465675728316
관악구,서원동,0.24720034068042246,0.24824866857180544,0.3166191641233889,0.23806687020627001,0.6212664277180404,0.8,0.03898050974512743,2.5103819810450547
노원구,상계1동,0.21189680934671443,0.21474396317456118,0.2770449214316342,0.1793878918757912,0.5806451612903225,1.0000000000000002,0.03898050974512743,2.502699256864151
강동구,강일동,0.31331279212364416,0.3155617865197952,0.3697631598859939,0.1545163452230248,0.9187574671445639,0.4000000000000001,0.02998500749625187,2.5018965583932737
구로구,구로3동,0.36539310409601655,0.36339396040910427,0.4568819835044266,0.4610172015786731,0.4038231780167263,0.4000000000000001,0.03898050974512743,2.4894899373500743
마포구,염리동,0.20769308287171023,0.20955443475937405,0.6409059954094887,0.2224290714126145,0.7514934289127836,0.4000000000000001,0.04947526236881558,2.4815512757347866
성북구,월곡2동,0.24861097268920823,0.25144178374949866,0.468408706837844,0.0767741455059945,0.9904420549581839,0.4000000000000001,0.03898050974512743,2.4746581734858566
종로구,창신3동,0.3068339648765123,0.3106293445377271,0.5575201150150074,0.4744954948246333,0.3859020310633213,0.4000000000000001,0.03898050974512743,2.474361460062329
강서구,화곡4동,0.15984436375839484,0.16168942863961341,0.6188110071379928,0.42006106188100384,0.6726403823178015,0.4000000000000001,0.03898050974512743,2.4720267534799336
송파구,잠실본동,0.24600568991241112,0.24742179570315415,0.35394859636290266,0.2087273810410306,1.0,0.2,0.21589205397301348,2.471995516992512
종로구,삼청동,0.07471445092598998,0.07582831991049901,0.26857013140969055,0.1061136346712339,0.9020310633213858,1.0000000000000002,0.03898050974512743,2.4662381099839266
동작구,대방동,0.2966615316887222,0.2994680646561422,0.5875097737533735,0.44716657979000674,0.5519713261648744,0.2,0.07796101949025487,2.460738295543374
송파구,잠실4동,0.35714334341228593,0.3606529115997174,0.2094988271495952,0.04251991957703478,0.8518518518518517,0.6000000000000001,0.03898050974512743,2.460647363335613
강남구,논현2동,0.3824499166637606,0.38262647188224036,0.38984034100940806,0.3434358477920918,0.5197132616487454,0.4000000000000001,0.03898050974512743,2.4570463487413736
서초구,잠원동,0.23353170113922922,0.2352585140973349,0.578126970514793,0.4092635341425274,0.5591397849462365,0.4000000000000001,0.03898050974512743,2.454301014585248
