No,호선,역명,도로명주소,지번주소,경도,위도,상태
75,3,약수,서울특별시 중구 다산로 지하122(신당동),서울특별시 중구 신당동 369-44 약수역(3호선),127.0108228,37.55455951,정좌표
76,3,금호,서울특별시 성동구 동호로 지하104(금호동4가),서울특별시 성동구 금호동4가 1470 금호역(3호선),127.0158942,37.54811322,정좌표
77,3,옥수,서울특별시 성동구 동호로 21(옥수동),서울특별시 성동구 옥수동 168-1 옥수역(3호선),127.0183297,37.5410464,정좌표
78,3,압구정,서울특별시 강남구 압구정로 지하172(신사동),서울특별시 강남구 신사동 668 압구정역(3호선),127.0284806,37.52643028,정좌표
79,3,신사,서울특별시 강남구 도산대로 지하102(신사동),서울특별시 강남구 신사동 667 신사역(3호선),127.0203268,37.51643188,정좌표
80,3,잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),서울특별시 서초구 잠원동 100-1 잠원역(3호선),127.01122,37.51279922,정좌표
81,3,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),서울특별시 서초구 반포동 19-11 고속터미널역(3호선),127.0044423,37.5046475,정좌표
82,3,"교대(법원, 검찰청)",서울특별시 서초구 서초대로 지하294(서초동),서울특별시 서초구 서초동 1748-4 교대역(3호선),127.0141557,37.49357744,정좌표
83,3,남부터미널(예술의전당),서울특별시 서초구 서초중앙로 지하31(서초동),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),127.0162068,37.48514011,정좌표
84,3,양재(서초구청),서울특별시 서초구 남부순환로 지하2585(서초동),서울특별시 서초구 서초동 1366-9 양재역(3호선),127.034544,37.48393501,정좌표
85,3,매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),서울특별시 강남구 도곡동 179-2 매봉역(3호선),127.0466143,37.48696095,정좌표
86,3,도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),서울특별시 강남구 도곡동 339-2 도곡역(3호선),127.0553236,37.49086423,정좌표
87,3,대치,서울특별시 강남구 남부순환로 지하2952(대치동),서울특별시 강남구 대치동 317-3 대치역(3호선),127.0634297,37.494563,정좌표
