행정구역,2021년_총인구수,2021년_세대수,2021년_세대당 인구
서울특별시 강동구 고덕제1동(1174055000),"24,301","8,343",2.91
서울특별시 강동구 고덕제2동(1174056000),"22,177","8,781",2.53
서울특별시 강동구 암사제1동(1174057000),"34,486","15,964",2.16
서울특별시 강동구 암사제2동(1174058000),"15,197","6,353",2.39
서울특별시 강동구 암사제3동(1174059000),"17,898","6,267",2.86
서울특별시 강동구 천호제1동(1174060000),"26,738","12,917",2.07
서울특별시 강동구 천호제2동(1174061000),"33,154","17,473",1.9
서울특별시 강동구 천호제3동(1174062000),"26,564","14,368",1.85
서울특별시 강동구 성내제1동(1174064000),"19,915","8,352",2.38
서울특별시 강동구 성내제2동(1174065000),"23,534","12,810",1.84
서울특별시 강동구 성내제3동(1174066000),"23,079","10,670",2.16
서울특별시 강동구 길동(1174068500),"45,653","21,820",2.09
서울특별시 강동구 둔촌제1동(1174069000),133,82,1.62
서울특별시 강동구 둔촌제2동(1174070000),"24,661","10,488",2.35
