기간,자치구,동,계,20~24세,25~29세,30~34세,35~39세
2021,동작구,노량진2동,11472,754.5,1470.5,1101.5,766
2021,동작구,상도1동,44128,4784.5,4908.5,3084.5,3008
2021,동작구,상도2동,27644.5,1815,2413,2206,2489.5
2021,동작구,상도3동,24497.5,1588,2576,2243.5,1843
2021,동작구,상도4동,28491,1781,2782.5,2491.5,2238
2021,동작구,사당1동,22717,1639,3588.5,2746.5,1874
2021,동작구,사당3동,24332,1334,1931,1909.5,2076
2021,동작구,사당4동,14143,876.5,1619.5,1319,1109.5
2021,동작구,사당5동,14435,857.5,1304.5,1301.5,1286
2021,동작구,대방동,38033,2742.5,3621,2848.5,2442
2021,동작구,신대방1동,23195.5,1472.5,1894.5,1538.5,1518
2021,동작구,신대방2동,20485,1345.5,2215.5,1799.5,1592.5
2021,동작구,흑석동,31397,2402,2575.5,2020.5,2363
2021,동작구,노량진1동,31495.5,2095,3432,2939,2475
2021,동작구,사당2동,27091.5,1539,2078.5,2264.5,2166.5
2021,관악구,보라매동,24183,1631.5,3086.5,2249.5,1775.5
2021,관악구,청림동,15186,818,987.5,1239,1311
2021,관악구,행운동,28799,2304,5166,3626,2321
2021,관악구,낙성대동,16715,1879,3626,2249.5,1245.5
2021,관악구,중앙동,15009.5,1449.5,2970.5,1919,1081.5
2021,관악구,인헌동,25711.5,2014,3788.5,2918.5,1991
2021,관악구,남현동,18031,1303,2623,2125.5,1532
2021,관악구,서원동,22459.5,2025,4374.5,2754,1811
2021,관악구,신원동,17814,1486,2873,1902.5,1279
2021,관악구,서림동,23077,1915.5,3634.5,2658,1937.5
2021,관악구,신사동,22353,2050,3759.5,2341.5,1561.5
2021,관악구,신림동,21720.5,2557,5937,3620,1991.5
2021,관악구,난향동,15322,885,826.5,807,1024
2021,관악구,조원동,17178.5,1244,2791,1914,1303
2021,관악구,대학동,23129,2142.5,3836,2751.5,1991
2021,관악구,은천동,33265.5,2041.5,3366.5,2751,2479
2021,관악구,성현동,29424,1850,2007,1761.5,2011.5
2021,관악구,청룡동,34818,3922,7415.5,4264.5,2531
2021,관악구,난곡동,26863,1656.5,2416,1915,1709.5
2021,관악구,삼성동,22545.5,1222,1505.5,1293,1234.5
2021,관악구,미성동,30593,1961.5,2793.5,2143.5,2071.5
2021,서초구,서초1동,20419,1168.5,1623.5,1669,1823
2021,서초구,서초2동,23386,1327.5,1917.5,2322.5,2223.5
2021,서초구,서초3동,31667.5,2274,3036.5,2926,2467
2021,서초구,서초4동,30527.5,1893.5,1612.5,1426.5,2085
2021,서초구,잠원동,26966,1695.5,1785.5,1642.5,1900.5
2021,서초구,반포본동,6695,505,351,247.5,269.5
2021,서초구,반포1동,32739.5,1757.5,2416.5,2540.5,2907
2021,서초구,반포2동,15551.5,780.5,551.5,471,920
2021,서초구,반포3동,21860,1349,1076.5,1044.5,1444.5
2021,서초구,반포4동,18958,1106.5,1126.5,1147,1377
2021,서초구,방배본동,20625.5,1310,1312,1114.5,1235
2021,서초구,방배1동,16786,1072.5,1322.5,1447,1428
2021,서초구,방배2동,19446,1144,1546,1558.5,1457.5
2021,서초구,방배3동,19695,1224,1275.5,1303.5,1355
2021,서초구,방배4동,23301,1412.5,1675,1685,1743
2021,서초구,양재1동,43338,2236,3004,3006,3483.5
2021,서초구,양재2동,21833.5,1174.5,2141,2233.5,2130
2021,서초구,내곡동,17640,786.5,1102,1074.5,1491.5
2021,강남구,신사동,15883.5,969.5,1173,1124,1105
2021,강남구,논현1동,21753,1383,3039.5,3017,2483.5
2021,강남구,논현2동,20672.5,1288,2147.5,2222,2078
2021,강남구,삼성1동,12799,803.5,990,913,948
2021,강남구,삼성2동,29678.5,1703,2154.5,2250.5,2541.5
2021,강남구,대치1동,24277,1524,885,559.5,901.5
2021,강남구,대치4동,19745.5,1545,1798.5,1736.5,1491.5
2021,강남구,역삼1동,34490.5,2143,5266.5,5482,4357
2021,강남구,역삼2동,35595,2039.5,2364,2291,2632
2021,강남구,도곡1동,21442.5,1303,1547.5,1529.5,1547.5
2021,강남구,도곡2동,33032,2121,1731.5,1440,1936
2021,강남구,개포1동,6282,339.5,365.5,297.5,332.5
2021,강남구,개포4동,22748,1441,1726.5,1722.5,1794
2021,강남구,일원본동,23416,1345.5,1180,1152,1677.5
2021,강남구,일원1동,15136,844,1280.5,1110.5,1079
2021,강남구,일원2동,17385.5,972.5,871.5,1145,1351.5
2021,강남구,수서동,14807.5,637.5,859,1088.5,1100
2021,강남구,세곡동,43493.5,2235.5,3010.5,2920,3571.5
2021,강남구,압구정동,26025,1557.5,1466,1387.5,1742
2021,강남구,청담동,25614.5,1618,1988,1888,2241.5
2021,강남구,대치2동,36625,2596,2073.5,1569.5,1624.5
2021,강남구,개포2동,24668,1714.5,1486.5,1373.5,1594.5
2021,송파구,풍납1동,13206,720,900.5,910.5,934
2021,송파구,풍납2동,24918.5,1596,2147.5,2034.5,2121.5
2021,송파구,거여1동,12609,819.5,985.5,897,820
2021,송파구,거여2동,18681.5,1038.5,1153,1206,1446
2021,송파구,마천1동,19087.5,1082,1222,1049.5,1112
2021,송파구,마천2동,18889.5,1091.5,1294.5,1099,1096
2021,송파구,방이1동,15791.5,1104.5,1302,1117,1123.5
2021,송파구,방이2동,25930.5,1656,3577.5,3437,2615.5
2021,송파구,오륜동,18105.5,1140.5,997,741,918
2021,송파구,오금동,38565.5,2543,2841.5,2708.5,2813
2021,송파구,송파1동,24038.5,1495.5,2956.5,3023.5,2315
2021,송파구,송파2동,19693.5,1272,1480,1362,1517.5
2021,송파구,석촌동,31583,1758,3699.5,3747.5,3116
2021,송파구,삼전동,30412.5,1755.5,3468,3430,3034.5
2021,송파구,가락본동,26294,1674.5,2353,2437.5,2217
2021,송파구,가락1동,27338.5,1526.5,1777,2352,2688.5
2021,송파구,가락2동,32306,2028,2431,2251.5,2442.5
2021,송파구,문정1동,20131,1275.5,1900,1804.5,1673
2021,송파구,문정2동,28849,1595,3567.5,3963.5,3369
2021,송파구,잠실본동,27802,1748.5,3272.5,3329.5,2707
2021,송파구,잠실4동,21182,1017,959,1008.5,1879
2021,송파구,잠실6동,16709,957.5,996,961.5,1245.5
2021,송파구,잠실7동,9569,642,603.5,461.5,507
2021,송파구,잠실2동,35109.5,1961,1305.5,1233,2536
2021,송파구,잠실3동,34364,2021,1754,1692.5,2465
2021,송파구,장지동,29593,1873.5,2151.5,2249,2435.5
2021,송파구,위례동,34635.5,1639,1607,2350.5,3696.5
2021,강동구,명일1동,25725,1534,1586.5,1829,2198.5
2021,강동구,명일2동,17397.5,1087.5,1130,925.5,964.5
2021,강동구,고덕1동,24884.5,1160,1148.5,1165.5,2004
2021,강동구,고덕2동,22087,1139,1194,1598.5,2210.5
2021,강동구,암사2동,15154,826,1104.5,1329.5,1512.5
2021,강동구,암사3동,17952.5,1003,931.5,956.5,1485.5
2021,강동구,천호1동,26751,1545.5,2200.5,2021.5,1954
2021,강동구,천호3동,26182,1494.5,2817.5,2582,2213
2021,강동구,성내1동,19852,1145.5,1551,1553.5,1704.5
2021,강동구,성내2동,23608,1279.5,2573,2283,1944
2021,강동구,성내3동,22993.5,1508,2067.5,1762,1720
2021,강동구,둔촌1동,27.5,1,3,1.5,2
2021,강동구,둔촌2동,25216.5,1574,1955,1831.5,1873.5
2021,강동구,암사1동,34464.5,2063,2694.5,2467.5,2589.5
2021,강동구,천호2동,33358,1778,3142.5,3239.5,2899.5
2021,강동구,길동,45554.5,2711,4333,3900,3539
2021,강동구,강일동,29895.5,1675,1659.5,1778,2225
2021,강동구,상일1동,35741,1819,1892.5,2203,3361
2021,강동구,상일2동,9224.5,719.5,621.5,552,621
